BUG_ID,SUMMARY,,TEST CASE _ID,,STEPS TO REPRODUCE,,,EXPECTED RESULT,,ACTUAL RESULT,,SEVERITY,PRIORITY,ATTACHMENTS,,STATUS
,,,,,,,,,,,,,,,,
BUG_001,Verify search with Empty input--->Mobile view,,TC_search_004,,1.open the application in mobile view2.navigate to the page containing the search bar3.leave the search field empty4.tsp the search button5.observe the application behaviour,,,Validation message must be appear,,validation message not appear,,medium,high,,,New
BUG_002,Verify search with numbers,,TC_search_005,,1.navigate to the page with the search bar2.click on the search bar3.enter numberic values(1234)4.click search button and press enter5.observe behaviour,,,the search bar should accept only alphabets,,the search bar should accepts numberic input and  no validation message is appear,,medium,medium,,,New
BUG_003,verify a numberic value in first name,,TC_CHK_003,,1.navigate to the profile2.click on the first name field3.enter numeric value(1234)4.click outside the field5.observe the behaviour,,,the first name field should accept only alphabetic characters,,the first name field accept numberic values without displaying any validation message,,medium,high,,,New
BUG_004,verify a numberic value in last name,,TC_CHK_005,,1.navigate to the profile2.click on the last name 3.enter numberic values(4567)4.click outside field5.observe the behaviour,,,the last name field should accept only alphabetic characters,,the flast name field accept numberic values without displaying any validation message,,medium,high,,,New
BUG_005,verify alphabtes in contact number,,TC_CHK_009,,"1,navigate to profile2.click on the contact number3.enter alphabetic characters(abcd)4.submit and move to next field5.observe the behaviour",,,the contact number field should accept only numberic values,,the contact number field accepts alphabetic characters and no validation message is displayed,,medium,high,,,New
BUG_006,verify user selects a state that does belong to selected country,,TC_CHK_0012,,1.navigte to profile2.select a country from the country dropdown(india)3.open state dropdown4.select a state that belongs to a different country5.submit6.observe the behaviour,,,the state dropdown should display only the states corresponding to the selected country,,the application allows the user to select and submit a state that does not belong to the selected country,,high,high,,,New
BUG_008,verify user enter a invalid postal code,,TC_CHK_0014,,"1.navigate to the profile2.enter all requried details 3..in the postal field ,enter a invalid code(12344)4.click submit5.observe the behaviour",,,the application should validate the postal code format,,the application accept the invalid postal code and does not display any validation message,,medium,high,,,New
BUG_009,verify no product message displayed when boys hoody category has no product,,TC_MEN_003,,1.navigate the boys category2.select hoody subcategory3.ensure there are no products avaiable in the boys hoody category4.observe the product listing area,,,"when no products are avaiable in the boys hoody category ,the application should display such as ""no product avaiable""",,"no products are displayed,but the application does not show  anymessage indicating that the category is empty",,low,medium,,,New
BUG_010,verify email without@,,TC_CHK_007,,1.navigate to profile2.click on email field3.enter email address without@4.click submit move to next5.observe the behaviour,,,the application should validate the email format,,the application accept the invalid email and does not display any validation message,,medium,high,,,New
